                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5319,                 4.8474,                 1.3661,                      0,                      0,                      0,                      0,                 1.1477,                 4.3871,                0.95522,               0.070857,              0.0032381,              0.0032381
                      1,                 1.2462,                 4.1276,                 1.1524,                0.03494,                0.50134,                0.06374,                0.03995,                 1.1902,                 3.9134,                 1.0845,               0.040844,              0.0065584,              0.0065584
                      2,                 1.3188,                 3.4612,                 1.2791,                0.44654,                0.14931,                0.20166,                0.12698,                 1.2311,                 2.9126,                 1.2804,               0.010818,              0.0098655,              0.0098655
                      3,                 1.3369,                  2.944,                 1.3243,                0.38522,                0.46182,                0.36474,                 0.2274,                 1.3026,                 2.3626,                 1.3515,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.3242,                 2.4902,                 1.3306,                0.56508,                0.61716,                0.64579,                 0.4199,                 1.2399,                 1.8903,                 1.3286,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.2863,                 2.1241,                 1.3085,                0.64408,                0.78986,                0.85413,                0.54532,                 1.2682,                 1.5208,                 1.4149,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.2839,                 1.7573,                 1.2961,                0.83245,                0.87602,                0.93688,                0.62266,                 1.1978,                 1.0943,                 1.3388,               0.009901,               0.009901,               0.009901
                      7,                 1.2617,                 1.4873,                 1.2966,                0.86785,                0.92157,                0.95412,                0.63422,                 1.1831,                0.97378,                 1.3154,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.2406,                 1.3296,                 1.2881,                 0.9023,                0.94016,                0.98772,                0.65072,                 1.1871,                0.86273,                 1.3123,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.2454,                 1.2489,                 1.2955,                0.96171,                0.96878,                0.98853,                0.65465,                 1.1972,                 0.7343,                 1.3128,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.2459,                 1.1509,                 1.2826,                0.95917,                0.97174,                0.99128,                0.66667,                 1.1488,                0.71894,                 1.3042,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.2098,                 1.1112,                 1.2678,                0.96133,                0.97393,                0.99267,                0.67115,                  1.144,                0.69318,                  1.271,               0.009802,               0.009802,               0.009802
                     12,                 1.1969,                 1.0411,                 1.2512,                0.97553,                0.98215,                0.99271,                0.67542,                 1.1447,                0.65732,                 1.2578,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.2276,                 1.0561,                 1.2654,                0.98049,                0.98794,                0.99268,                0.67489,                  1.145,                 0.6175,                 1.2616,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.2165,                 1.0279,                 1.2662,                0.98082,                0.98705,                0.99195,                0.67221,                 1.1394,                0.64047,                 1.2806,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.2153,                 1.0038,                  1.263,                 0.9863,                0.99301,                 0.9929,                0.67801,                 1.1329,                0.59588,                 1.2623,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.1947,                0.98873,                 1.2608,                0.98222,                0.99401,                0.99299,                0.67943,                 1.1425,                0.61076,                 1.2713,               0.009703,               0.009703,               0.009703
                     17,                 1.1938,                0.98148,                 1.2477,                0.98453,                0.99241,                0.99271,                0.68529,                 1.1262,                0.57871,                  1.255,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.1883,                0.96659,                  1.246,                0.98384,                0.99134,                0.99307,                0.68586,                 1.1186,                0.57784,                 1.2624,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.1929,                0.92379,                 1.2501,                0.97692,                0.98516,                0.99242,                0.66191,                 1.1888,                0.62344,                 1.2895,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.1842,                0.90147,                 1.2242,                0.98276,                0.99313,                0.99348,                0.68518,                 1.1322,                0.56825,                 1.2623,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.1704,                 0.9068,                  1.241,                0.98381,                0.99386,                0.99364,                0.68986,                 1.1104,                0.56646,                  1.243,               0.009604,               0.009604,               0.009604
                     22,                 1.1702,                0.92024,                 1.2503,                0.98973,                0.99477,                0.99368,                0.68944,                 1.1022,                0.55833,                 1.2366,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.1786,                0.88775,                 1.2406,                0.98782,                 0.9951,                0.99323,                0.68958,                 1.1097,                0.54999,                 1.2528,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.1713,                 0.8925,                 1.2343,                0.97502,                0.98966,                0.99342,                0.68534,                 1.1277,                0.55485,                 1.2615,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.1638,                 0.8786,                 1.2319,                0.98742,                0.99514,                0.99393,                 0.6919,                 1.1136,                 0.5554,                 1.2574,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.1714,                0.90753,                 1.2463,                0.98943,                0.99548,                0.99401,                0.69413,                 1.1024,                0.52862,                 1.2468,               0.009505,               0.009505,               0.009505
                     27,                 1.1611,                0.86811,                 1.2432,                0.98788,                0.99521,                0.99422,                 0.6902,                 1.1115,                0.53981,                 1.2409,              0.0094852,              0.0094852,              0.0094852
                     28,                  1.148,                0.84691,                 1.2313,                0.98987,                0.99558,                0.99424,                0.69619,                 1.1046,                0.53001,                 1.2426,              0.0094654,              0.0094654,              0.0094654
                     29,                  1.145,                0.86204,                 1.2275,                 0.9864,                0.99649,                0.99382,                0.70278,                 1.0743,                0.51327,                 1.2286,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.1535,                0.85854,                 1.2278,                0.98802,                0.99132,                0.99389,                0.70367,                  1.077,                0.53871,                 1.2263,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.1514,                0.83415,                 1.2324,                0.98837,                0.99481,                0.99414,                0.70179,                 1.0771,                0.53465,                 1.2253,               0.009406,               0.009406,               0.009406
                     32,                 1.1467,                0.82515,                 1.2289,                0.99139,                0.99579,                0.99415,                0.70149,                  1.092,                0.53025,                 1.2396,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.1399,                0.84361,                 1.2288,                0.98975,                0.99495,                0.99439,                0.70494,                 1.0656,                 0.4993,                 1.2232,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.1355,                0.83795,                   1.23,                0.98858,                0.99517,                0.99443,                0.69861,                 1.0819,                0.52389,                 1.2323,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.1156,                0.79554,                 1.2097,                0.98677,                0.99346,                0.99453,                0.70496,                 1.0716,                0.50482,                 1.2204,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.1225,                0.79033,                 1.2073,                0.98983,                0.99716,                0.99443,                0.71412,                 1.0426,                0.49326,                  1.206,               0.009307,               0.009307,               0.009307
                     37,                 1.1254,                0.79275,                 1.2044,                0.99056,                0.99076,                0.99421,                0.70147,                 1.0786,                0.50273,                 1.2333,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.1148,                0.79158,                 1.2171,                0.99229,                 0.9959,                0.99449,                0.71149,                 1.0544,                0.48831,                 1.2112,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.1163,                 0.8027,                 1.2194,                0.98744,                0.99363,                0.99451,                0.70551,                 1.0683,                0.50023,                 1.2088,              0.0092476,              0.0092476,              0.0092476
                     40,                  1.104,                0.79283,                 1.2148,                0.97925,                0.98755,                0.99363,                 0.7108,                 1.0506,                0.51256,                 1.2115,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.1115,                0.77532,                  1.208,                0.98847,                0.99537,                0.99482,                0.71071,                 1.0454,                  0.494,                 1.2128,               0.009208,               0.009208,               0.009208
                     42,                 1.1058,                0.76009,                 1.2055,                 0.9904,                0.99684,                 0.9946,                0.71734,                  1.035,                0.49247,                  1.194,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.1118,                0.75514,                 1.2044,                0.99019,                0.99161,                0.99453,                0.71408,                 1.0431,                0.48368,                 1.2106,              0.0091684,              0.0091684,              0.0091684
                     44,                  1.095,                0.75794,                 1.2061,                0.98903,                0.99517,                0.99467,                0.71491,                 1.0352,                0.47617,                 1.2052,              0.0091486,              0.0091486,              0.0091486
                     45,                  1.091,                0.74949,                 1.1848,                0.99329,                0.99574,                0.99466,                0.72309,                 1.0182,                0.46362,                 1.1889,              0.0091288,              0.0091288,              0.0091288
